KB,kilobytes
MB,megabytes
GB,gigabytes
km²,quilòmetres quadrats
cm²,centímetres quadrats
mm²,mil·límetres quadrats
dm²,decímetres quadrats
m²,metres quadrats
km³,quilòmetres cúbics
cm³,centímetres cúbics
mm³,mil·límetres cúbics
dm³,decímetres cúbics
m³,metres cúbics
km,quilòmetres
cm,centímetres
mm,mil·límetres
dm,decímetres
mW,mil·liwatts
MW,megawatts
kW,kilowatts
GHz,gigahertz
MHz,megahertz
mHz,mil·lihertz
Hz,hertz
ml,mil·lilitres
cl,centilitres
°C,graus Celsius
° C,graus Celsius
°K,kelvins
° K,kelvins
kJ,quilojoules
KJ,quilojoules
MJ,megajoules
m,metres
kg,quilograms
Kg,quilograms
mg,mil·ligrams
gr,grams
g,grams
h,hores
